Year,Bill No.,Short Title of the Bill,Date of Introduction,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis,Status
1954,II,"The State Acquisition of Lands for Union Purpues (Validation) Bill, 1954",15/02/1954,26/04/1954,9/3/1954,NA,30/04/1954 23 of 1954,NA,Assented
1954,I,"The Lushai Hills District (Change of Name) Bill, 1954",15/02/1954,24/04/1954,22/02/1954,NA,29/04/1954 18 of 1954,NA,Assented
1953,XXVII,"The Drugs and Magic Remedies (Objectionable Advertisements) Bill, 1953",2/12/1953,26/04/1954,16/02/1954,NA,30/04/1954 21 of 1954,NA,Assented
1953,XXX,"The Prevention of Disqualification (Parliament and Part C State Legislatures) Bill, 1953",12/10/1953,24/12/1953,16/12/1953,NA,1/1/1954 1 of 1954,NA,Assented
1953,XXIX,"The Indian Railways (Second Amendment) Bill, 1953",12/10/1953,26/04/1954,22/02/1954,NA,30/04/1954 22 of 1954,NA,Assented
1953,XXII,"The Employees Provident Funds (Amendment) Bill, 1953",14/09/1953,12/1/1953,24/11/1953,NA,12/12/1953 37 of 1953,NA,Assented
1953,XIX,"The Indian Railways (Amendment) Bill, 1953",25/08/1953,25/08/1956,9/1/1953,NA,16/09/1956 59 of 1956,NA,Assented
1953,XXVIII,"The Absorbed Areas (Laws) Bill, 1953",12/7/1953,26/04/1954,22/02/1954,NA,30/04/1954 20 of 1954,NA,Assented
1953,XVIII,"The Delhi Road Transport Authority (Amendment) Bill, 1953",6/5/1953,15/05/1953,13/05/1953,NA,22/05/1953 24 of 1953,NA,Assented
1953,XIII,"The Calcutta High Court (Extension of Immidiation) Bill, 1953",22/04/1953,9/12/1953,27/04/1953,NA,18/12/1953 41 of 1954,NA,Assented
1953,XII,"The Ancient and Historical Monuments and Archaeological Sites and Remains (Declaration of National Importance) Amendment Bill, 1953",15/04/1953,12/3/1953,20/04/1953,NA,2/1/1954 3 of 1954,NA,Assented
1953,VIII,"The Hindu Minority and Guardianship Bill, 1953",9/4/1953,17/07/1956,7/4/1955,NA,25/08/1956 32 of 1956,NA,Assented
1953,IX,"The Repealing and Amending Bill, 1953",9/4/1953,11/12/1953,20/04/1953,NA,23/12/1953 42 of 1953,NA,Assented
1953,VI,"The Scheduled Areas (Assimilation of Laws) Bill, 1953",28/03/1953,25/04/1953,9/4/1953,NA,5/6/1953 16 of 1953,NA,Assented
1953,VII,"The Hyderabad Coinage and Paper Currency (Miscellaneous Provisions) Bill, 1953",27/03/1953,31/03/1953,28/03/1953,NA,31/03/1953 10 of 1953,NA,Assented
1953,XXI,"The Forward Contracts (Regulation) Amendment Bill, 1953",9/3/1953,15/12/1953,12/2/1953,NA,23/12/1953 46 of 1953,NA,Assented
1953,XX,"The Factories (Amendment) Bill, 1953",9/3/1953,28/04/1954,3/9/1954,NA,7/5/1954 25 of 1954,NA,Assented
1953,II,"The Travancore Cochin High Court (Amendment) Bill, 1953",4/3/1953,8/12/1953,9/4/1953,NA,15/12/1953 38 of 1953,NA,Assented
1953,I,"The Live-Stock Importation (Amendment) Bill, 1953",13/02/1953,9/12/1953,18/02/1953,NA,16/12/1953 40 of 1953,NA,Assented
1952,VII,"The Hindu Marriage and Divorce Bill, 1952",12/11/1952,5/5/1955,15/12/1954,NA,18/05/1955 25 of 1955,NA,Assented
1952,IV,"The Cantonments (Amendment) Bill, 1952",30/07/1952,12/10/1953,18/02/1953,NA,2/1/1954 2 of 1954,NA,Assented
1952,III,"The Special Marriage Bill, 1952",28/07/1952,17/09/1954,5/8/1954,NA,9/10/1954 43 of 1954,NA,Assented
1952,II,"The Essential Supplies (Temporary Powers) Amendment Bill, 1952",23/07/1952,11/8/1952,30/07/1952,NA,27/08/1952 65 of 1952,NA,Assented
1952,I,"The National Cadet Corps (Amendment) Bill, 1952",23/07/1952,8/8/1952,29/07/1952,NA,8/11/1952 52 of 1952,NA,Assented
